#group,false,false,true,true,false,true,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,agent,rssi,x,y
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.829Z,estpos,agent_2,-59.5,32.70137675760515,42.81533620085204
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.83Z,estpos,agent_1,-55.5,1.3467494173932943,21.264865203362696
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.831Z,estpos,agent_2,-57.5,32.27474775886626,43.24078368048231
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.832Z,estpos,agent_2,-54.5,31.996312091460183,43.67642115442115
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.833Z,estpos,agent_2,-58.5,31.802862731599063,44.06809976197207
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.834Z,estpos,agent_1,-51,1.499947151436639,20.202341747463816
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.835Z,estpos,agent_2,-55,31.79461590125379,44.27006804239129
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.844Z,estpos,agent_1,-52,-52.79485856191752,81.10289426803497
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.845Z,estpos,agent_2,-57,23.321901186760925,50.46317424891819
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.846Z,estpos,agent_2,-56,26.98804249366173,47.89862456373781
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.847Z,estpos,agent_2,-61.5,28.105184270909028,49.04084763036744
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.848Z,estpos,agent_1,-58,1.8308988009869185,21.451995747800044
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.849Z,estpos,agent_1,-52.5,2.0750719717687693,21.296459763452347
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.85Z,estpos,agent_1,-53.5,2.451486958601146,21.204419470385123
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.851Z,estpos,agent_1,-56,2.0279015518597694,21.1015223209614
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.852Z,estpos,agent_1,-56,2.1400726067091393,21.24856833290988
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.853Z,estpos,agent_1,-56,2.3066021425137397,20.96476449877246
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.854Z,estpos,agent_1,-56,2.4791468591796315,20.87389359776538
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.855Z,estpos,agent_1,-53.5,2.2998418720280345,20.928257208324705
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.856Z,estpos,agent_1,-54,1.982717927680979,20.702897294543998
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.857Z,estpos,agent_1,-52.5,1.849728218750971,20.44004183227146
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.858Z,estpos,agent_1,-56.5,1.7747540388219798,20.54688540289577
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.859Z,estpos,agent_1,-51.5,1.7011498368621434,20.547013341290192
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.86Z,estpos,agent_1,-53.5,1.7054786575037342,20.46796622693782
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.861Z,estpos,agent_2,-55.5,30.338234471283716,45.87195508380789
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.862Z,estpos,agent_1,-53,1.5839983632405148,20.168966659369076
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.863Z,estpos,agent_1,-53.5,1.6025222345082344,20.124182288398362
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.089Z,estpos,agent_2,-60.5,18.00726034911291,68.26719831193559
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.09Z,estpos,agent_2,-59,35.68941466372155,44.445618758653616
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.091Z,estpos,agent_1,-54,2.0191857894458023,22.76796952743169
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.092Z,estpos,agent_1,-56,2.151083172605923,22.6354043912077
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.093Z,estpos,agent_2,-56.5,33.86422271611624,46.4281858912205
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.094Z,estpos,agent_2,-53.5,33.4898369984614,46.28937878397263
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.082Z,estpos,agent_1,-56,4.924423207668023,22.882609195904283
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.083Z,estpos,agent_1,-54,3.3013912544230997,22.015599821184868
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.084Z,estpos,agent_1,-56,3.382431889302066,21.728160140958988
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.085Z,estpos,agent_2,-54.5,30.380516657098454,45.73329862892921
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.086Z,estpos,agent_2,-60,30.531405796908064,46.3150626120657
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.087Z,estpos,agent_2,-59,30.06384077498521,46.78283988866016
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.088Z,estpos,agent_1,-56,1.35003564495508,21.0388578456369
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.089Z,estpos,agent_1,-56,1.5383991826172594,20.7746207737851
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.09Z,estpos,agent_2,-61,30.42218549003126,44.74576302720519
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.223Z,estpos,agent_1,-58,-67.26089519250178,96.9842767201582
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.224Z,estpos,agent_1,-55.5,4.149682003270474,25.68903247592112
