NO_OF_FRAMES	3996
NO_OF_CAMERAS	8
NO_OF_BODIES	3
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-08-19, 16:38:19.875	16348406.23157430
DATA_INCLUDED	6D
BODY_NAMES	tag1	tag2	anchor
BODY_FILTERS	No filter	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	Global	
ROTATION_ORIGIN	Global	Global	Global	
Frame	Time	tag1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		tag2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		anchor X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
25	0.24000	-1582.29759	-341.90233	861.13132	-0.53020	0.07388	-0.03392	0.57658	1.00000	-0.00060	-0.00128	0.00059	0.99996	-0.00925	0.00129	0.00925	0.99996		-1363.08733	72.88527	845.35173	0.14916	-0.01832	0.16194	1.93269	1.00000	0.00283	0.00033	-0.00283	0.99999	0.00260	-0.00032	-0.00260	1.00000		-2071.26372	81.03183	840.37532	-0.02808	-0.04917	-0.09564	0.19638	1.00000	-0.00167	0.00086	0.00167	1.00000	-0.00049	-0.00086	0.00049	1.00000	
26	0.25000	-1582.35972	-341.74597	861.15642	-0.61379	0.03076	-0.03675	0.58813	1.00000	-0.00065	-0.00053	0.00064	0.99994	-0.01071	0.00054	0.01071	0.99994		-1363.00940	72.72280	845.29392	-0.01127	-0.09027	-0.15903	1.87550	0.99999	-0.00278	0.00158	0.00278	1.00000	-0.00019	-0.00158	0.00020	1.00000		-2071.43731	81.02219	840.41738	-0.04407	-0.10811	0.43509	0.15634	0.99997	0.00760	0.00188	-0.00759	0.99997	-0.00078	-0.00189	0.00077	1.00000	
27	0.26000	-1582.34614	-341.62609	861.17448	-0.63537	0.09938	-0.02096	0.59824	1.00000	-0.00039	-0.00173	0.00037	0.99994	-0.01109	0.00173	0.01109	0.99994		-1363.02641	72.75496	845.28138	0.01230	-0.09007	-0.14632	1.88612	1.00000	-0.00255	0.00157	0.00255	1.00000	0.00022	-0.00157	-0.00021	1.00000		-2071.42753	81.00468	840.42563	-0.03389	-0.11751	0.40147	0.16395	0.99997	0.00701	0.00205	-0.00701	0.99998	-0.00061	-0.00205	0.00059	1.00000	
28	0.27000	-1582.37860	-341.63838	861.26472	-0.60354	0.03457	-0.11405	0.53891	1.00000	-0.00200	-0.00058	0.00199	0.99994	-0.01053	0.00060	0.01053	0.99994		-1363.10286	72.82647	845.34129	0.07319	-0.05315	0.08953	1.91326	1.00000	0.00156	0.00093	-0.00156	1.00000	0.00128	-0.00093	-0.00128	1.00000		-2071.47826	81.13915	840.49758	0.09584	-0.03883	0.64826	0.08063	0.99994	0.01131	0.00070	-0.01131	0.99993	0.00166	-0.00068	-0.00167	1.00000	
29	0.28000	-1582.37393	-341.63162	861.27942	-0.60698	0.03532	-0.09883	0.54050	1.00000	-0.00173	-0.00060	0.00172	0.99994	-0.01059	0.00062	0.01059	0.99994		-1363.01587	72.68185	845.28155	-0.03456	-0.14428	-0.15148	1.86958	0.99999	-0.00264	0.00252	0.00264	1.00000	-0.00060	-0.00252	0.00060	1.00000		-2071.50626	81.12496	840.52222	0.09436	-0.05496	0.67901	0.09254	0.99993	0.01185	0.00098	-0.01185	0.99993	0.00164	-0.00096	-0.00165	1.00000	
30	0.29000	-1582.45787	-341.69299	861.33128	-0.53728	-0.06212	-0.14273	0.51898	1.00000	-0.00248	0.00111	0.00249	0.99995	-0.00937	-0.00108	0.00938	0.99996		-1363.01141	72.73484	845.31066	0.01705	-0.12793	-0.14651	1.87055	0.99999	-0.00256	0.00223	0.00256	1.00000	0.00030	-0.00223	-0.00030	1.00000		-2071.26148	81.00991	840.35848	-0.04907	-0.09035	0.05285	0.21511	1.00000	0.00092	0.00158	-0.00092	1.00000	-0.00086	-0.00158	0.00086	1.00000	
31	0.30000	-1582.49239	-341.66430	861.23942	-0.61839	-0.02697	-0.12156	0.56759	1.00000	-0.00212	0.00049	0.00212	0.99994	-0.01079	-0.00047	0.01079	0.99994		-1363.00474	72.71093	845.30375	0.00132	-0.12092	-0.16968	1.86545	0.99999	-0.00296	0.00211	0.00296	1.00000	0.00003	-0.00211	-0.00002	1.00000		-2071.45084	80.96430	840.41967	-0.02560	-0.12204	0.41658	0.15022	0.99997	0.00727	0.00213	-0.00727	0.99997	-0.00046	-0.00213	0.00045	1.00000	
32	0.31000	-1582.43279	-341.78901	861.13618	-0.57610	-0.01229	-0.12571	0.57588	1.00000	-0.00219	0.00024	0.00219	0.99995	-0.01005	-0.00021	0.01005	0.99995		-1363.08530	72.82965	845.29426	0.04339	-0.07214	0.05528	1.91591	1.00000	0.00096	0.00126	-0.00096	1.00000	0.00076	-0.00126	-0.00076	1.00000		-2071.36153	81.10776	840.44052	0.07260	-0.01839	0.36755	0.19358	0.99998	0.00641	0.00033	-0.00641	0.99998	0.00126	-0.00032	-0.00127	1.00000	
33	0.32000	-1582.45683	-341.99648	861.21109	-0.46662	-0.02528	-0.00345	0.54697	1.00000	-0.00006	0.00044	0.00006	0.99997	-0.00814	-0.00044	0.00814	0.99997		-1363.08153	72.79249	845.30004	0.02521	-0.07451	0.10288	1.91867	1.00000	0.00180	0.00130	-0.00180	1.00000	0.00044	-0.00130	-0.00044	1.00000		-2071.30702	80.99233	840.37457	-0.00897	-0.08614	0.05662	0.13885	1.00000	0.00099	0.00150	-0.00099	1.00000	-0.00016	-0.00150	0.00016	1.00000	
34	0.33000	-1582.49837	-342.17177	861.15701	-0.29530	0.00203	-0.06013	0.53323	1.00000	-0.00105	-0.00003	0.00105	0.99999	-0.00515	0.00004	0.00515	0.99999		-1363.02096	72.74250	845.27239	-0.01872	-0.15554	-0.18119	1.86769	0.99999	-0.00316	0.00272	0.00316	0.99999	-0.00032	-0.00271	0.00033	1.00000		-2071.48675	81.12451	840.51111	0.08582	-0.04263	0.63016	0.08557	0.99994	0.01100	0.00076	-0.01100	0.99994	0.00149	-0.00074	-0.00150	1.00000	
35	0.34000	-1582.41481	-342.38604	861.10169	-0.32008	-0.00533	-0.19833	0.55281	0.99999	-0.00346	0.00011	0.00346	0.99998	-0.00559	-0.00009	0.00559	0.99998		-1362.87610	73.00355	845.07407	-0.16874	-0.06596	0.27443	1.83914	0.99999	0.00479	0.00114	-0.00479	0.99998	-0.00295	-0.00115	0.00295	0.99999		-2071.46484	81.00613	840.45778	-0.04655	-0.08575	0.37670	0.16414	0.99998	0.00658	0.00149	-0.00657	0.99998	-0.00082	-0.00150	0.00081	1.00000	
36	0.35000	-1582.45702	-342.61519	861.06638	-0.23828	0.00319	-0.20939	0.56499	0.99999	-0.00365	-0.00004	0.00365	0.99998	-0.00416	0.00006	0.00416	0.99999		-1363.03089	72.75384	845.32375	-0.03585	-0.12396	-0.13425	1.87307	0.99999	-0.00234	0.00216	0.00234	1.00000	-0.00062	-0.00216	0.00063	1.00000		-2071.43304	80.99626	840.44934	-0.00780	-0.09643	0.28532	0.15550	0.99999	0.00498	0.00168	-0.00498	0.99999	-0.00014	-0.00168	0.00014	1.00000	
37	0.36000	-1582.55803	-342.87234	861.00523	-0.10372	0.00253	-0.20603	0.60358	0.99999	-0.00360	-0.00004	0.00360	0.99999	-0.00181	0.00004	0.00181	1.00000		-1363.04328	72.75801	845.32905	-0.00127	-0.11476	-0.12392	1.87951	1.00000	-0.00216	0.00200	0.00216	1.00000	-0.00002	-0.00200	0.00002	1.00000		-2071.47601	81.03311	840.42496	-0.00778	-0.12847	0.37571	0.18554	0.99998	0.00656	0.00224	-0.00656	0.99998	-0.00015	-0.00224	0.00014	1.00000	
38	0.37000	-1582.52450	-343.16313	860.94760	0.03363	0.01310	-0.06426	0.60618	1.00000	-0.00112	-0.00023	0.00112	1.00000	0.00059	0.00023	-0.00059	1.00000		-1363.02261	72.74055	845.30703	-0.05912	-0.09586	-0.18061	1.89094	0.99999	-0.00315	0.00168	0.00315	0.99999	-0.00103	-0.00167	0.00103	1.00000		-2071.32541	81.02866	840.34833	-0.01288	-0.11441	0.13954	0.14563	1.00000	0.00244	0.00200	-0.00244	1.00000	-0.00023	-0.00200	0.00022	1.00000	
