#group,false,false,true,true,false,true,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,agent,rssi,x,y
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.413Z,rawpos,agent_2,-57,39.20011439149422,41.3805634530726
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.414Z,rawpos,agent_2,-58.5,25.725149967317243,47.47859158777815
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.415Z,rawpos,agent_1,-53.5,1.9530581989576894,18.89935352522631
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.416Z,rawpos,agent_1,-53,1.2859663014385632,15.948237854746349
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.417Z,rawpos,agent_2,-56.5,23.791305398068086,51.79743031710991
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.49Z,rawpos,agent_1,-51.5,3.288411708088177,22.763706825517424
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.491Z,rawpos,agent_2,-57.5,27.79008667919442,55.42301942661425
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.492Z,rawpos,agent_1,-51.5,1.4055757494697894,19.950547782266593
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.493Z,rawpos,agent_2,-56.5,26.991837491668868,46.7700834810388
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.494Z,rawpos,agent_1,-54,0.6381849887001769,22.99114438039563
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.495Z,rawpos,agent_2,-56.5,28.445956151832046,50.54530224074289
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.496Z,rawpos,agent_2,-56.5,28.396880144395332,48.26610817193413
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.599Z,rawpos,agent_2,-56.5,43.372570260506365,30.460140331217104
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.6Z,rawpos,agent_2,-60,28.810625514971946,54.8994340356624
